"","Gene","Ensembl","Gene.description","Uniprot","Secretome.location"
"1352","ADAMTS12","ENSG00000151388","ADAM metallopeptidase with thrombospondin type 1 motif 12","P58397","Secreted to extracellular matrix"
"1353","NUBPL","ENSG00000151413","NUBP iron-sulfur cluster assembly factor, mitochondrial","Q8TB37","Intracellular and membrane"
"1354","CCDC3","ENSG00000151468","Coiled-coil domain containing 3","Q9BQI4","Secreted to blood"
"1355","PTPRO","ENSG00000151490","Protein tyrosine phosphatase receptor type O","Q16827","Intracellular and membrane"
"1356","ADAM8","ENSG00000151651","ADAM metallopeptidase domain 8","P78325","Intracellular and membrane"
"1357","ITIH2","ENSG00000151655","Inter-alpha-trypsin inhibitor heavy chain 2","P19823","Secreted to blood"
"1358","GABRA2","ENSG00000151834","Gamma-aminobutyric acid type A receptor subunit alpha2","P47869","Intracellular and membrane"
"1359","CCL28","ENSG00000151882","C-C motif chemokine ligand 28","Q9NRJ3","Secreted to blood"
"1360","GLT1D1","ENSG00000151948","Glycosyltransferase 1 domain containing 1","Q96MS3","Secreted to blood"
"1361","CFC1B","ENSG00000152093","Cripto, FRL-1, cryptic family 1B","P0CG36","Secreted - unknown location"
"1362","MGAT5","ENSG00000152127","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase","Q09328","Intracellular and membrane"
"1363","PTH","ENSG00000152266","Parathyroid hormone","P01270","Secreted to blood"
"1364","SPOCK1","ENSG00000152377","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1","Q08629","Secreted to blood"
"1365","GRIA4","ENSG00000152578","Glutamate ionotropic receptor AMPA type subunit 4","P48058","Intracellular and membrane"
"1366","IGSF10","ENSG00000152580","Immunoglobulin superfamily member 10","Q6WRI0","Secreted - unknown location"
"1367","SPARCL1","ENSG00000152583","SPARC like 1","Q14515","Secreted in other tissues"
"1368","DSPP","ENSG00000152591","Dentin sialophosphoprotein","Q9NZW4","Secreted in other tissues"
"1369","DMP1","ENSG00000152592","Dentin matrix acidic phosphoprotein 1","Q13316","Secreted to extracellular matrix"
"1370","MEPE","ENSG00000152595","Matrix extracellular phosphoglycoprotein","Q9NQ76","Secreted to extracellular matrix"
"1371","BMP3","ENSG00000152785","Bone morphogenetic protein 3","P12645","Secreted in other tissues"
"1372","PLOD2","ENSG00000152952","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","O00469","Intracellular and membrane"
"1373","ADGRA3","ENSG00000152990","Adhesion G protein-coupled receptor A3","Q8IWK6","Intracellular and membrane"
"1374","CPB1","ENSG00000153002","Carboxypeptidase B1","P15086","Secreted to digestive system"
"1375","LGI2","ENSG00000153012","Leucine rich repeat LGI family member 2","Q8N0V4","Secreted to blood"
"1376","MR1","ENSG00000153029","Major histocompatibility complex, class I-related","Q95460","Intracellular and membrane"
"1377","BMP6","ENSG00000153162","Bone morphogenetic protein 6","P22004","Secreted to blood"
"1378","PLA2R1","ENSG00000153246","Phospholipase A2 receptor 1","Q13018","Secreted to blood"
"1379","ADGRF1","ENSG00000153292","Adhesion G protein-coupled receptor F1","Q5T601","Secreted - unknown location"
"1380","C16orf89","ENSG00000153446","Chromosome 16 open reading frame 89","Q6UX73","Secreted to blood"
"1381","SPACA7","ENSG00000153498","Sperm acrosome associated 7","Q96KW9","Secreted in male reproductive system"
"1382","CD8A","ENSG00000153563","CD8a molecule","P01732","Intracellular and membrane"
"1383","PTPRD","ENSG00000153707","Protein tyrosine phosphatase receptor type D","P23468","Intracellular and membrane"
"1384","TMPRSS11D","ENSG00000153802","Transmembrane serine protease 11D","O60235","Intracellular and membrane"
"1385","LGI4","ENSG00000153902","Leucine rich repeat LGI family member 4","Q8N135","Secreted in brain"
"1386","HS2ST1","ENSG00000153936","Heparan sulfate 2-O-sulfotransferase 1","Q7LGA3","Intracellular and membrane"
"1387","CACNA2D1","ENSG00000153956","Calcium voltage-gated channel auxiliary subunit alpha2delta 1","P54289","Intracellular and membrane"
"1388","SEMA3D","ENSG00000153993","Semaphorin 3D","O95025","Secreted in other tissues"
"1389","SDHAF4","ENSG00000154079","Succinate dehydrogenase complex assembly factor 4","Q5VUM1","Intracellular and membrane"
"1390","CHST9","ENSG00000154080","Carbohydrate sulfotransferase 9","Q7L1S5","Intracellular and membrane"
"1391","ABI3BP","ENSG00000154175","ABI family member 3 binding protein","Q7Z7G0","Secreted in other tissues"
"1392","ANGPT1","ENSG00000154188","Angiopoietin 1","Q15389","Secreted to blood"
"1393","GAL3ST2","ENSG00000154252","Galactose-3-O-sulfotransferase 2","Q9H3Q3","Intracellular and membrane"
"1394","ENPP3","ENSG00000154269","Ectonucleotide pyrophosphatase/phosphodiesterase 3","O14638","Secreted - unknown location"
"1395","WNT3A","ENSG00000154342","Wnt family member 3A","P56704","Secreted to extracellular matrix"
"1396","MMP21","ENSG00000154485","Matrix metallopeptidase 21","Q8N119","Secreted to extracellular matrix"
"1397","LY96","ENSG00000154589","Lymphocyte antigen 96","Q9Y6Y9","Secreted to blood"
"1398","CXADR","ENSG00000154639","CXADR Ig-like cell adhesion molecule","P78310","Secreted - unknown location"
"1399","ADAMTS1","ENSG00000154734","ADAM metallopeptidase with thrombospondin type 1 motif 1","Q9UHI8","Secreted to extracellular matrix"
"1400","ADAMTS5","ENSG00000154736","ADAM metallopeptidase with thrombospondin type 1 motif 5","Q9UNA0","Secreted to extracellular matrix"
"1401","WNT7A","ENSG00000154764","Wnt family member 7A","O00755","Secreted to extracellular matrix"
"1402","OXNAD1","ENSG00000154814","Oxidoreductase NAD binding domain containing 1","Q96HP4","Intracellular and membrane"
"1403","CA10","ENSG00000154975","Carbonic anhydrase 10","Q9NS85","Secreted in brain"
"1404","APOOL","ENSG00000155008","Apolipoprotein O like","Q6UXV4","Intracellular and membrane"
"1405","DKK 2.00","ENSG00000155011","Dickkopf WNT signaling pathway inhibitor 2","Q9UBU2","Secreted in other tissues"
"1406","HSPA13","ENSG00000155304","Heat shock protein family A (Hsp70) member 13","P48723","Intracellular and membrane"
"1407","PIK3AP1","ENSG00000155629","Phosphoinositide-3-kinase adaptor protein 1","Q6ZUJ8","Intracellular and membrane"
"1408","PDIA4","ENSG00000155660","Protein disulfide isomerase family A member 4","P13667","Intracellular and membrane"
"1409","OTOA","ENSG00000155719","Otoancorin","Q7RTW8","Secreted in other tissues"
"1410","PXYLP1","ENSG00000155893","2-phosphoxylose phosphatase 1","Q8TE99","Intracellular and membrane"
"1411","RASA2","ENSG00000155903","RAS p21 protein activator 2","Q15283","Intracellular and membrane"
"1412","WIF1","ENSG00000156076","WNT inhibitory factor 1","Q9Y5W5","Secreted to extracellular matrix"
"1413","UGT2B4","ENSG00000156096","UDP glucuronosyltransferase family 2 member B4","P06133","Intracellular and membrane"
"1414","MMP16","ENSG00000156103","Matrix metallopeptidase 16","P51512","Secreted to extracellular matrix"
"1415","ADAMTS3","ENSG00000156140","ADAM metallopeptidase with thrombospondin type 1 motif 3","O15072","Secreted to extracellular matrix"
"1416","ADAMTSL3","ENSG00000156218","ADAMTS like 3","P82987","Secreted in other tissues"
"1417","ART3","ENSG00000156219","ADP-ribosyltransferase 3 (inactive)","Q13508","Intracellular and membrane"
"1418","CXCL13","ENSG00000156234","C-X-C motif chemokine ligand 13","O43927","Secreted to blood"
"1419","FUT6","ENSG00000156413","Fucosyltransferase 6","P51993","Secreted to blood"
"1420","FGF18","ENSG00000156427","Fibroblast growth factor 18","O76093","Secreted in other tissues"
"1421","GDF6","ENSG00000156466","Growth differentiation factor 6","Q6KF10","Secreted to blood"
"1422","NODAL","ENSG00000156574","Nodal growth differentiation factor","Q96S42","Secreted to blood"
"1423","PRG3","ENSG00000156575","Proteoglycan 3, pro eosinophil major basic protein 2","Q9Y2Y8","Secreted in other tissues"
"1424","MALSU1","ENSG00000156928","Mitochondrial assembly of ribosomal large subunit 1","Q96EH3","Intracellular and membrane"
"1425","B3GNT7","ENSG00000156966","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","Q8NFL0","Intracellular and membrane"
"1426","SST","ENSG00000157005","Somatostatin","P61278","Secreted to blood"
"1427","GHRL","ENSG00000157017","Ghrelin and obestatin prepropeptide","Q9UBU3","Secreted to blood"
"1428","EXOG","ENSG00000157036","Exo/endonuclease G","Q9Y2C4","Intracellular and membrane"
"1429","LYZL4","ENSG00000157093","Lysozyme like 4","Q96KX0","Secreted in male reproductive system"
"1430","C8A","ENSG00000157131","Complement C8 alpha chain","P07357","Secreted to blood"
"1431","TIMP4","ENSG00000157150","TIMP metallopeptidase inhibitor 4","Q99727","Secreted to extracellular matrix"
"1432","NRG1","ENSG00000157168","Neuregulin 1","Q02297","Secreted to blood"
"1433","LRP8","ENSG00000157193","LDL receptor related protein 8","Q14114","Secreted in other tissues"
"1434","CDCP2","ENSG00000157211","CUB domain containing protein 2","Q5VXM1","Secreted - unknown location"
"1435","CLEC18A","ENSG00000157322","C-type lectin domain family 18 member A","A5D8T8","Secreted to blood"
"1436","CLEC18C","ENSG00000157335","C-type lectin domain family 18 member C","Q8NCF0","Secreted to blood"
"1437","ST3GAL2","ENSG00000157350","ST3 beta-galactoside alpha-2,3-sialyltransferase 2","Q16842","Intracellular and membrane"
"1438","IL34","ENSG00000157368","Interleukin 34","Q6ZMJ4","Secreted to blood"
"1439","C2CD2","ENSG00000157617","C2 calcium dependent domain containing 2","Q9Y426","Intracellular and membrane"
"1440","ACAN","ENSG00000157766","Aggrecan","P16112","Secreted to extracellular matrix"
"1441","CABP1","ENSG00000157782","Calcium binding protein 1","Q9NZU7","Intracellular and membrane"
"1442","EXTL1","ENSG00000158008","Exostosin like glycosyltransferase 1","Q92935","Intracellular and membrane"
"1443","GRHL3","ENSG00000158055","Grainyhead like transcription factor 3","Q8TE85","Intracellular and membrane"
"1444","XDH","ENSG00000158125","Xanthine dehydrogenase","P47989","Intracellular and membrane"
"1445","TENT5B","ENSG00000158246","Terminal nucleotidyltransferase 5B","Q96A09","Intracellular and membrane"
"1446","NRG2","ENSG00000158458","Neuregulin 2","O14511","Secreted in other tissues"
"1447","B4GALT5","ENSG00000158470","Beta-1,4-galactosyltransferase 5","O43286","Intracellular and membrane"
"1448","CD1E","ENSG00000158488","CD1e molecule","P15812","Intracellular and membrane"
"1449","CPA2","ENSG00000158516","Carboxypeptidase A2","P48052","Secreted to digestive system"
"1450","CPA5","ENSG00000158525","Carboxypeptidase A5","Q8WXQ8","Secreted in male reproductive system"
"1451","TMED4","ENSG00000158604","Transmembrane p24 trafficking protein 4","Q7Z7H5","Intracellular and membrane"
"1452","TAGLN2","ENSG00000158710","Transgelin 2","P37802","Intracellular and membrane"
"1453","NBL1","ENSG00000158747","NBL1, DAN family BMP antagonist","P41271","Secreted in other tissues"
"1454","ITLN2","ENSG00000158764","Intelectin 2","Q8WWU7","Secreted to digestive system"
"1455","PLA2G2F","ENSG00000158786","Phospholipase A2 group IIF","Q9BZM2","Intracellular and membrane"
"1456","EDA","ENSG00000158813","Ectodysplasin A","Q92838","Secreted - unknown location"
"1457","FGF17","ENSG00000158815","Fibroblast growth factor 17","O60258","Secreted in brain"
"1458","VWA5B1","ENSG00000158816","Von Willebrand factor A domain containing 5B1","Q5TIE3","Secreted in male reproductive system"
"1459","ADAMTS4","ENSG00000158859","ADAM metallopeptidase with thrombospondin type 1 motif 4","O75173","Secreted to extracellular matrix"
"1460","APOA2","ENSG00000158874","Apolipoprotein A2","P02652","Secreted to blood"
"1461","WFDC8","ENSG00000158901","WAP four-disulfide core domain 8","Q8IUA0","Secreted in male reproductive system"
"1462","WNT9B","ENSG00000158955","Wnt family member 9B","O14905","Secreted to extracellular matrix"
"1463","IFNAR2","ENSG00000159110","Interferon alpha and beta receptor subunit 2","P48551","Secreted to blood"
"1464","LAD1","ENSG00000159166","Ladinin 1","O00515","Secreted to extracellular matrix"
"1465","STC1","ENSG00000159167","Stanniocalcin 1","P52823","Secreted in other tissues"
"1466","C1QC","ENSG00000159189","Complement C1q C chain","P02747","Secreted to blood"
"1467","GIP","ENSG00000159224","Gastric inhibitory polypeptide","P09681","Secreted to blood"
"1468","SCUBE1","ENSG00000159307","Signal peptide, CUB domain and EGF like domain containing 1","Q8IWY4","Secreted to blood"
"1469","ADPGK","ENSG00000159322","ADP dependent glucokinase","Q9BRR6","Intracellular and membrane"
"1470","CES5A","ENSG00000159398","Carboxylesterase 5A","Q6NT32","Secreted in male reproductive system"
"1471","RGL4","ENSG00000159496","Ral guanine nucleotide dissociation stimulator like 4","Q8IZJ4","Intracellular and membrane"
"1472","PGLYRP3","ENSG00000159527","Peptidoglycan recognition protein 3","Q96LB9","Secreted in other tissues"
"1473","RSPRY1","ENSG00000159579","Ring finger and SPRY domain containing 1","Q96DX4","Secreted to blood"
"1474","ACE","ENSG00000159640","Angiotensin I converting enzyme","P12821","Secreted to blood"
"1475","TEPP","ENSG00000159648","Testis, prostate and placenta expressed","Q6URK8","Secreted in male reproductive system"
"1476","SPON2","ENSG00000159674","Spondin 2","Q9BUD6","Secreted to blood"
"1477","AGRP","ENSG00000159723","Agouti related neuropeptide","O00253","Secreted in brain"
"1478","PIP","ENSG00000159763","Prolactin induced protein","P12273","Secreted in other tissues"
"1479","FNDC5","ENSG00000160097","Fibronectin type III domain containing 5","Q8NAU1","Intracellular and membrane"
"1480","CPAMD8","ENSG00000160111","C3 and PZP like alpha-2-macroglobulin domain containing 8","Q8IZJ3","Secreted to blood"
"1481","CILP2","ENSG00000160161","Cartilage intermediate layer protein 2","Q8IUL8","Secreted to extracellular matrix"
"1482","TFF3","ENSG00000160180","Trefoil factor 3","Q07654","Secreted to blood"
"1483","TFF2","ENSG00000160181","Trefoil factor 2","Q03403","Secreted to digestive system"
"1484","TFF1","ENSG00000160182","Trefoil factor 1","P04155","Secreted to digestive system"
"1485","GATD3","ENSG00000160221","Glutamine amidotransferase class 1 domain containing 3","P0DPI2","Intracellular and membrane"
"1486","ADAMTS13","ENSG00000160323","ADAM metallopeptidase with thrombospondin type 1 motif 13","Q76LX8","Secreted to blood"
"1487","FCN2","ENSG00000160339","Ficolin 2","Q15485","Secreted to blood"
"1488","LCN1","ENSG00000160349","Lipocalin 1","P31025","Secreted in other tissues"
"1489","C19orf47","ENSG00000160392","Chromosome 19 open reading frame 47","Q8N9M1","Intracellular and membrane"
"1490","TOR2A","ENSG00000160404","Torsin family 2 member A","Q5JU69, Q8N2E6","Secreted to blood"
"1491","ST6GALNAC6","ENSG00000160408","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6","Q969X2","Intracellular and membrane"
"1492","RDH13","ENSG00000160439","Retinol dehydrogenase 13","Q8NBN7","Intracellular and membrane"
"1493","IL6R","ENSG00000160712","Interleukin 6 receptor","P08887","Secreted to blood"
"1494","AZGP1","ENSG00000160862","Alpha-2-glycoprotein 1, zinc-binding","P25311","Secreted to blood"
"1495","FGFR4","ENSG00000160867","Fibroblast growth factor receptor 4","P22455","Intracellular and membrane"
"1496","LY6K","ENSG00000160886","Lymphocyte antigen 6 family member K","Q17RY6","Secreted in male reproductive system"
"1497","LY6E","ENSG00000160932","Lymphocyte antigen 6 family member E","Q16553","Intracellular and membrane"
"1498","COL26A1","ENSG00000160963","Collagen type XXVI alpha 1 chain","Q96A83","Secreted to extracellular matrix"
"1499","MGAT4B","ENSG00000161013","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B","Q9UQ53","Intracellular and membrane"
"1500","PGLYRP2","ENSG00000161031","Peptidoglycan recognition protein 2","Q96PD5","Secreted to blood"
"1501","SCGB3A1","ENSG00000161055","Secretoglobin family 3A member 1","Q96QR1","Secreted to blood"
"1502","DMKN","ENSG00000161249","Dermokine","Q6E0U4","Secreted in other tissues"
"1503","PLXDC1","ENSG00000161381","Plexin domain containing 1","Q8IUK5","Intracellular and membrane"
"1504","HCRT","ENSG00000161610","Hypocretin neuropeptide precursor","O43612","Secreted to blood"
"1505","DCD","ENSG00000161634","Dermcidin","P81605","Secreted in other tissues"
"1506","NAGS","ENSG00000161653","N-acetylglutamate synthase","Q8N159","Intracellular and membrane"
"1507","EMC10","ENSG00000161671","ER membrane protein complex subunit 10","Q5UCC4","Secreted to blood"
"1508","CXCL16","ENSG00000161921","C-X-C motif chemokine ligand 16","Q9H2A7","Secreted to blood"
"1509","TNFSF13","ENSG00000161955","TNF superfamily member 13","O75888","Secreted to blood"
"1510","JMJD8","ENSG00000161999","Jumonji domain containing 8","Q96S16","Intracellular and membrane"
"1511","NTN3","ENSG00000162068","Netrin 3","O00634","Secreted in brain"
"1512","ZG16B","ENSG00000162078","Zymogen granule protein 16B","Q96DA0","Secreted to digestive system"
"1513","ITIH3","ENSG00000162267","Inter-alpha-trypsin inhibitor heavy chain 3","Q06033","Secreted to blood"
"1514","FGF19","ENSG00000162344","Fibroblast growth factor 19","O95750","Secreted to blood"
"1515","CMPK1","ENSG00000162368","Cytidine/uridine monophosphate kinase 1","P30085","Intracellular and membrane"
"1516","SELENON","ENSG00000162430","Selenoprotein N","Q9NZV5","Intracellular and membrane"
"1517","AK4","ENSG00000162433","Adenylate kinase 4","P27144","Intracellular and membrane"
"1518","CTRC","ENSG00000162438","Chymotrypsin C","Q99895","Secreted to digestive system"
"1519","DRAXIN","ENSG00000162490","Dorsal inhibitory axon guidance protein","Q8NBI3","Secreted in brain"
"1520","MATN1","ENSG00000162510","Matrilin 1","P21941","Secreted to extracellular matrix"
"1521","ALPL","ENSG00000162551","Alkaline phosphatase, biomineralization associated","P05186","Intracellular and membrane"
"1522","WNT4","ENSG00000162552","Wnt family member 4","P56705","Secreted to extracellular matrix"
"1523","MEGF6","ENSG00000162591","Multiple EGF like domains 6","O75095","Secreted to blood"
"1524","NTNG1","ENSG00000162631","Netrin G1","Q9Y2I2","Intracellular and membrane"
"1525","BRINP3","ENSG00000162670","BMP/retinoic acid inducible neural specific 3","Q76B58","Secreted in other tissues"
"1526","EXTL2","ENSG00000162694","Exostosin like glycosyltransferase 2","Q9UBQ6","Intracellular and membrane"
"1527","CADM3","ENSG00000162706","Cell adhesion molecule 3","Q8N126","Intracellular and membrane"
"1528","OLFML2B","ENSG00000162745","Olfactomedin like 2B","Q68BL8","Secreted - unknown location"
"1529","FCRLB","ENSG00000162746","Fc receptor like B","Q6BAA4","Intracellular and membrane"
"1530","FCGR3B","ENSG00000162747","Fc gamma receptor IIIb","O75015","Secreted to blood"
"1531","SNED1","ENSG00000162804","Sushi, nidogen and EGF like domains 1","Q8TER0","Secreted to blood"
"1532","ACP6","ENSG00000162836","Acid phosphatase 6, lysophosphatidic","Q9NPH0","Intracellular and membrane"
"1533","PM20D1","ENSG00000162877","Peptidase M20 domain containing 1","Q6GTS8","Secreted to digestive system"
"1534","PKDCC","ENSG00000162878","Protein kinase domain containing, cytoplasmic","Q504Y2","Secreted to blood"
"1535","B3GALNT2","ENSG00000162885","Beta-1,3-N-acetylgalactosaminyltransferase 2","Q8NCR0","Intracellular and membrane"
"1536","IL20","ENSG00000162891","Interleukin 20","Q9NYY1","Secreted to blood"
"1537","IL24","ENSG00000162892","Interleukin 24","Q13007","Secreted to blood"
"1538","FCMR","ENSG00000162894","Fc mu receptor","O60667","Secreted to blood"
"1539","PIGR","ENSG00000162896","Polymeric immunoglobulin receptor","P01833","Secreted to digestive system"
"1540","MRPL55","ENSG00000162910","Mitochondrial ribosomal protein L55","Q7Z7F7","Intracellular and membrane"
"1541","FRZB","ENSG00000162998","Frizzled related protein","Q92765","Secreted in other tissues"
"1542","INHBB","ENSG00000163083","Inhibin subunit beta B","P09529","Secreted to blood"
"1543","CTSS","ENSG00000163131","Cathepsin S","P25774","Intracellular and membrane"
"1544","C1QTNF7","ENSG00000163145","C1q and TNF related 7","Q9BXJ2","Secreted to blood"
"1545","BMP10","ENSG00000163217","Bone morphogenetic protein 10","O95393","Secreted to blood"
"1546","PGLYRP4","ENSG00000163218","Peptidoglycan recognition protein 4","Q96LB8","Secreted in other tissues"
"1547","S100A9","ENSG00000163220","S100 calcium binding protein A9","P06702","Secreted to blood"
"1548","S100A12","ENSG00000163221","S100 calcium binding protein A12","P80511","Secreted to blood"
"1549","TGFA","ENSG00000163235","Transforming growth factor alpha","P01135","Secreted to blood"
"1550","NPPC","ENSG00000163273","Natriuretic peptide C","P23582","Secreted to blood"
"1551","ALPP","ENSG00000163283","Alkaline phosphatase, placental","P05187","Intracellular and membrane"
"1552","ALPG","ENSG00000163286","Alkaline phosphatase, germ cell","P10696","Intracellular and membrane"
"1553","ALPI","ENSG00000163295","Alkaline phosphatase, intestinal","P09923","Intracellular and membrane"
"1554","ANTXR2","ENSG00000163297","ANTXR cell adhesion molecule 2","P58335","Intracellular and membrane"
"1555","COL6A3","ENSG00000163359","Collagen type VI alpha 3 chain","P12111","Secreted to extracellular matrix"
"1556","TAFA4","ENSG00000163377","TAFA chemokine like family member 4","Q96LR4","Secreted in brain"
"1557","EOGT","ENSG00000163378","EGF domain specific O-linked N-acetylglucosamine transferase","Q5NDL2","Intracellular and membrane"
"1558","NAXE","ENSG00000163382","NAD(P)HX epimerase","Q8NCW5","Secreted to blood"
"1559","POGLUT1","ENSG00000163389","Protein O-glucosyltransferase 1","Q8NBL1","Intracellular and membrane"
"1560","PROK2","ENSG00000163421","Prokineticin 2","Q9HC23","Secreted to blood"
"1561","FSTL1","ENSG00000163430","Follistatin like 1","Q12841","Secreted to blood"
"1562","IGFBP7","ENSG00000163453","Insulin like growth factor binding protein 7","Q16270","Secreted to blood"
"1563","IHH","ENSG00000163501","Indian hedgehog signaling molecule","Q14623","Secreted in other tissues"
"1564","TGFBR2","ENSG00000163513","Transforming growth factor beta receptor 2","P37173","Secreted to blood"
"1565","RETNLB","ENSG00000163515","Resistin like beta","Q9BQ08","Secreted to blood"
"1566","FBLN2","ENSG00000163520","Fibulin 2","P98095","Secreted to extracellular matrix"
"1567","GLB1L","ENSG00000163521","Galactosidase beta 1 like","Q6UWU2","Secreted - unknown location"
"1568","SERPINI1","ENSG00000163536","Serpin family I member 1","Q99574","Secreted in brain"
"1569","SUCLG1","ENSG00000163541","Succinate-CoA ligase GDP/ADP-forming subunit alpha","P53597","Intracellular and membrane"
"1570","ICOS","ENSG00000163600","Inducible T cell costimulator","Q9Y6W8","Intracellular and membrane"
"1571","CD200R1","ENSG00000163606","CD200 receptor 1","Q8TD46","Intracellular and membrane"
"1572","ALB","ENSG00000163631","Albumin","P02768","Secreted to blood"
"1573","ADAMTS9","ENSG00000163638","ADAM metallopeptidase with thrombospondin type 1 motif 9","Q9P2N4","Secreted to extracellular matrix"
"1574","CCNL1","ENSG00000163660","Cyclin L1","Q9UK58","Intracellular and membrane"
"1575","PTX3","ENSG00000163661","Pentraxin 3","P26022","Secreted to blood"
"1576","DNASE1L3","ENSG00000163687","Deoxyribonuclease 1 like 3","Q13609","Secreted to blood"
"1577","IL17RE","ENSG00000163701","Interleukin 17 receptor E","Q8NFR9","Intracellular and membrane"
"1578","CRELD1","ENSG00000163703","Cysteine rich with EGF like domains 1","Q96HD1","Intracellular and membrane"
"1579","PRRT3","ENSG00000163704","Proline rich transmembrane protein 3","Q5FWE3","Intracellular and membrane"
"1580","PCOLCE2","ENSG00000163710","Procollagen C-endopeptidase enhancer 2","Q9UKZ9","Secreted to extracellular matrix"
"1581","MTMR14","ENSG00000163719","Myotubularin related protein 14","Q8NCE2","Intracellular and membrane"
"1582","CXCL3","ENSG00000163734","C-X-C motif chemokine ligand 3","P19876","Secreted to blood"
"1583","CXCL5","ENSG00000163735","C-X-C motif chemokine ligand 5","P42830","Secreted to blood"
"1584","PPBP","ENSG00000163736","Pro-platelet basic protein","P02775","Secreted to blood"
"1585","PF4","ENSG00000163737","Platelet factor 4","P02776","Secreted to blood"
"1586","CXCL1","ENSG00000163739","C-X-C motif chemokine ligand 1","P09341","Secreted to blood"
"1587","CPA3","ENSG00000163751","Carboxypeptidase A3","P15088","Secreted to blood"
"1588","UCN","ENSG00000163794","Urocortin","P55089","Secreted to blood"
"1589","CDCP1","ENSG00000163814","CUB domain containing protein 1","Q9H5V8","Intracellular and membrane"
"1590","CLEC3B","ENSG00000163815","C-type lectin domain family 3 member B","P05452","Secreted to blood"
"1591","LIPH","ENSG00000163898","Lipase H","Q8WWY8","Secreted to blood"
"1592","MELTF","ENSG00000163975","Melanotransferrin","P08582","Intracellular and membrane"
"1593","AIMP1","ENSG00000164022","Aminoacyl tRNA synthetase complex interacting multifunctional protein 1","Q12904","Secreted to blood"
"1594","EMCN","ENSG00000164035","Endomucin","Q9ULC0","Intracellular and membrane"
"1595","CAMP","ENSG00000164047","Cathelicidin antimicrobial peptide","P49913","Secreted to blood"
"1596","PLXNB1","ENSG00000164050","Plexin B1","O43157","Intracellular and membrane"
"1597","ABHD18","ENSG00000164074","Abhydrolase domain containing 18","Q0P651","Intracellular and membrane"
"1598","TEX264","ENSG00000164081","Testis expressed 264, ER-phagy receptor","Q9Y6I9","Intracellular and membrane"
"1599","PRSS12","ENSG00000164099","Serine protease 12","P56730","Secreted - unknown location"
"1600","HMGB2","ENSG00000164104","High mobility group box 2","P26583","Secreted to blood"
"1601","SAP30","ENSG00000164105","Sin3A associated protein 30","O75446","Intracellular and membrane"
"1602","SCRG1","ENSG00000164106","Stimulator of chondrogenesis 1","O75711","Secreted in brain"
"1603","IL15","ENSG00000164136","Interleukin 15","P40933","Secreted to blood"
"1604","HHIP","ENSG00000164161","Hedgehog interacting protein","Q96QV1","Secreted in other tissues"
"1605","EDIL3","ENSG00000164176","EGF like repeats and discoidin domains 3","O43854","Secreted to blood"
"1606","CCDC112","ENSG00000164221","Coiled-coil domain containing 112","Q8NEF3","Intracellular and membrane"
"1607","AGGF1","ENSG00000164252","Angiogenic factor with G-patch and FHA domains 1","Q8N302","Secreted to blood"
"1608","SCGB3A2","ENSG00000164265","Secretoglobin family 3A member 2","Q96PL1","Secreted in other tissues"
"1609","SPINK1","ENSG00000164266","Serine peptidase inhibitor Kazal type 1","P00995","Secreted to digestive system"
"1610","ESM1","ENSG00000164283","Endothelial cell specific molecule 1","Q9NQ30","Secreted to blood"
"1611","ARSK","ENSG00000164291","Arylsulfatase family member K","Q6UWY0","Secreted in other tissues"
"1612","ENPP6","ENSG00000164303","Ectonucleotide pyrophosphatase/phosphodiesterase 6","Q6UWR7","Intracellular and membrane"
"1613","ERAP1","ENSG00000164307","Endoplasmic reticulum aminopeptidase 1","Q9NZ08","Secreted to blood"
"1614","ERAP2","ENSG00000164308","Endoplasmic reticulum aminopeptidase 2","Q6P179","Secreted to blood"
"1615","EGFLAM","ENSG00000164318","EGF like, fibronectin type III and laminin G domains","Q63HQ2","Secreted - unknown location"
"1616","CARTPT","ENSG00000164326","CART prepropeptide","Q16568","Secreted to blood"
"1617","KLKB1","ENSG00000164344","Kallikrein B1","P03952","Secreted to blood"
"1618","IL3","ENSG00000164399","Interleukin 3","P08700","Secreted to blood"
"1619","CSF2","ENSG00000164400","Colony stimulating factor 2","P04141","Secreted to blood"
"1620","GDF9","ENSG00000164404","Growth differentiation factor 9","O60383","Secreted in female reproductive system"
"1621","LEAP2","ENSG00000164406","Liver enriched antimicrobial peptide 2","Q969E1","Secreted to blood"
"1622","GRIK2","ENSG00000164418","Glutamate ionotropic receptor kainate type subunit 2","Q13002","Intracellular and membrane"
"1623","CALHM4","ENSG00000164451","Calcium homeostasis modulator family member 4","Q5JW98","Intracellular and membrane"
"1624","IL22RA2","ENSG00000164485","Interleukin 22 receptor subunit alpha 2","Q969J5","Secreted to blood"
"1625","RAET1E","ENSG00000164520","Retinoic acid early transcript 1E","Q8TD07","Intracellular and membrane"
"1626","PI16","ENSG00000164530","Peptidase inhibitor 16","Q6UXB8","Secreted to blood"
